Block size,Time to read
778,1836322497
779,1826429169
780,1830419946
781,1831811681
782,1827151221
783,1828433232
784,1824301897
785,1830380745
786,1829614866
787,1826684944
788,1826025434
789,1831774980
790,1828457546
791,1831371944
792,1827975749
793,1824134140
794,1832472549
795,1827057031
796,1825564041
797,1817840790
798,1820616573
799,1833458615
800,1824084739
801,1795469748
802,1799519694
803,1817324795
804,1790967263
805,1805898858
806,1794238474
807,1788585345
808,1787210881
809,1790223887
810,1809340524
811,1788691425
812,1787525211
813,1793492583
814,1783822061
815,1786707628
816,1795206481
817,1782177294
818,1785284566
819,1778902820
820,1793334027
821,1798913640
822,1787111917
823,1790177929
824,1790194169
825,1788116831
826,1790004006
827,1796820985
828,1772671059
829,1784139162
830,1794428486
831,1787932291
832,1781138476
833,1785260865
834,1791691095
835,1773141347
836,1779542451
837,1782969214
838,1783738903
839,1782695054
840,1783611423
841,1775933339
842,1780399356
843,1779788085
844,1773855099
845,1778261400
846,1771188536
847,1784422523
848,1784206897
849,1781332830
850,1775734789
851,1774595979
852,1775355921
853,1772904040
854,1771442822
855,1775899264
856,1774693710
857,1774137243
858,1772599484
859,1770162954
860,1788144485
861,1767625455
862,1767686678
863,1772183904
864,1767271422
865,1781262995
866,1769852477
867,1796452840
868,1773816989
869,1772467054
870,1769633585
871,1765588720
872,1767946318
873,1762699724
874,1771656102
875,1773772216
876,1769148512
877,1773652275
878,1762008075
879,1767419907
880,1762294383
881,1768884236
882,1758829568
883,1760158476
884,1757490113
885,1768130620
886,1760470190
887,1761702503
888,1755018125
889,1755927250
890,1758485644
891,1756759408
892,1764806581
893,1760814378
894,1765584362
895,1757747532
896,1767808551
897,1754554362
898,1760601426
899,1759525422
900,1752197593
901,1733356255
902,1722961104
903,1723857824
904,1731985745
905,1719819015
906,1726209946
907,1725303427
908,1731067622
909,1728256940
910,1724694039
911,1722006647
912,1721187932
913,1728522631
914,1723510474
915,1718953377
916,1716762328
917,1724596154
918,1728154221
919,1726344059
920,1728043336
921,1718714451
922,1721085648
923,1722409106
924,1722593377
925,1708860284
926,1718207883
927,1719716217
928,1709036800
929,1711909717
930,1714286207
931,1719032637
932,1712297597
933,1716081306
934,1716352901
935,1722879831
936,1722676031
937,1713314089
938,1712535338
939,1713107432
940,1783760237
941,1714110558
942,1712538447
